Codigo,cluster
1982100040,3
2357400723,17
2358600743,14
2367200469,3
5200100107,16
1513500344,32
7020401082,19
5241801463,14
7023301088,10
6826400754,18
6801300763,18
7023500131,20
6853300753,17
6886700773,18
5225401388,13
1546400575,33
5205101413,14
1523200705,29
1587900720,26
5256000237,17
6857500732,10
2001300591,3
7683404652,5
5239900234,5
503102091,3
509302371,3
6838500723,13
6819000713,3
6822900716,17
8541000080,3
7667001675,3
8632000024,3
5417201083,5
1374400494,22
4179100333,10
8688500198,3
2306800238,20
2367500702,3
585404577,3
550105569,19
2526900049,5
6604500806,14
7682803293,20
1751300605,14
4755100064,5
5434701355,19
6839700757,18
2537200314,13
6816900756,18
7000100028,5
2335000471,17
2309000660,3
2341900590,19
5400100191,16
5208301384,19
2522400277,17
2330000347,17
867500464,10
2579300131,14
5225801507,13
5269901368,17
1577400427,32
6872000760,18
5220301389,13
1521200806,29
5269401373,19
1537700539,17
5224001399,14
5202201506,17
5254001487,10
1529300501,32
5247301525,14
2548900276,18
5268701557,10
6832700765,18
5248001387,18
5269601494,19
1577600707,28
5252001392,18
5211001504,14
5262101493,10
5278601536,14
1886002001,5
8656900199,10
1533200584,10
4456000345,3
9900100006,5
4129800419,5
6823500749,3
512508313,20
2571800018,10
6865500734,3
6857200731,3
6850200729,19
6805100703,19
4717000052,20
6854700794,3
4774500253,10
4779800040,10
1343300100,3
1365400160,14
526604910,5
2581500027,3
2575400380,5
2346600610,3
863400105,3
4131900362,14
567005814,3
6659400763,3
7305500802,10
1953200012,22
2543800045,14
2577200378,10
4770700019,3
7344901045,13
581906123,10
2538600043,5
5431301021,3
6886100795,3
6867900793,5
2587500032,3
2517500020,3
2504000352,14
2505300023,3
5207901407,3
2532600053,3
2564502173,17
2529700035,3
7300100956,5
7302401044,19
2532000074,3
4443000277,5
2518300025,3
2355500638,3
514204103,17
1875300016,3
4728800091,23
2515100016,5
2529000036,5
9100100019,5
2551300028,5
6668700808,14
2566200061,3
6668200696,3
2527900055,3
2341700750,5
1551600732,3
2586200054,17
2543000021,5
6825500750,17
2500009224,5
5200101102,5
5400100371,5
4100100562,5
5241100896,10
1809402003,3
7600103958,5
1554200782,27
5223301542,14
1824702002,5
1536700064,32
2575400075,3
5068900457,3
4120600433,19
6808100707,3
508804909,5
4153000481,17
2350000618,14
2525801860,17
1962200023,3
1500100266,3
1563800688,35
1536200370,26
1551100832,26
1510600640,34
6887200758,18
1516200710,30
1505100982,26
7012400330,3
1520400600,29
829600021,3
1540301014,32
1553300753,33
855800157,10
2561201832,31
1581600553,32
1586100586,31
4796000073,17
1589700665,28
1553100507,17
6825000746,18
1576400697,33
1527200385,29
1509000430,31
1538000701,33
1513100683,26
1542500343,29
7042900233,3
1550700632,10
1536800597,30
5239001462,17
1518700716,26
1549400706,32
4728800045,3
1580800556,26
7047300079,10
2565802219,13
1510400698,35
1566400749,31
4154800517,14
1567600581,33
1568100603,29
1562101140,33
1576100650,33
1576200822,34
1510900686,33
1522400390,33
1581000755,26
1569600687,35
1568600845,27
1574000699,29
6877300768,3
2584501896,18
1581401159,10
6816000776,18
1300100815,5
6821700771,13
6849800761,19
5439801444,17
5000100540,5
1738001427,16
1954805086,3
1914207209,3
1939700051,3
1529600199,26
1931800115,14
576105612,20
539005090,10
587304363,19
1583500667,10
7627501751,3
807800158,3
813700146,3
1925608084,14
837200152,3
843300151,3
856000153,10
860600156,14
4187200566,10
2557200052,20
2575800051,3
2000100464,5
510702311,20
2584300026,5
2075000450,14
514706311,3
583702287,5
4755500106,23
564702174,20
6868200737,19
512005547,3
8657100005,10
1557200807,5
8600100038,5
4724500249,5
1343000492,5
538005016,3
1546600764,17
8656800007,5
4705800023,3
4703000115,13
6810100709,10
5022300873,10
4726800247,10
4760500075,19
5068000884,10
4798000238,3
4757000244,10
528402170,14
517206305,3
4135700474,10
875800161,3
4102000194,3
5027000925,19
800101330,5
4166000658,17
4400100137,5
525002133,14
4731800245,3
523402314,10
508605507,10
558504725,3
4769200056,10
1517600955,5
1523800664,5
6843200796,5
5412800641,3
6808100797,5
5400301020,3
7683401708,5
1575700808,17
519005592,3
546703962,10
579005513,14
9700100001,3
6816200748,17
1575300332,5
547505020,10
4152400139,3
2587800041,3
2539400034,3
6608800271,3
